
   INFO  Server running on [http://10.255.1.41:8001].  

  Press Ctrl+C to stop the server
  2026-01-07 11:44:42 /assets/images/logo.png ...................... ~ 0.37ms
  2026-01-07 11:47:11 /dashboard/new_users/date .................... ~ 0.54ms
  2026-01-07 11:47:11 /assets/css/app.css .......................... ~ 0.51ms
  2026-01-07 11:47:11 /assets/images/logo.png ...................... ~ 0.39ms
  2026-01-07 11:49:11 /dashboard/new_users/date .................... ~ 0.55ms
  2026-01-07 11:49:11 /assets/css/app.css .......................... ~ 0.56ms
  2026-01-07 11:49:11 /assets/images/logo.png ...................... ~ 0.34ms
  2026-01-07 11:49:15 /dashboard/new_users ............................. ~ 1s
  2026-01-07 11:49:16 /assets/css/app.css .......................... ~ 0.37ms
  2026-01-07 11:49:16 /assets/images/logo.png ...................... ~ 0.34ms
  2026-01-07 11:50:40 /dashboard/new_users ............................. ~ 1s
  2026-01-07 11:50:42 /assets/css/app.css .......................... ~ 0.35ms
  2026-01-07 11:50:42 /assets/images/logo.png ...................... ~ 0.35ms
  2026-01-07 12:43:42 /dashboard/new_users ............................. ~ 1s
  2026-01-07 12:43:43 /assets/css/app.css .......................... ~ 0.34ms
  2026-01-07 12:43:44 /assets/images/logo.png ...................... ~ 0.34ms
  2026-01-07 12:44:13 /dashboard/new_users ............................. ~ 1s
  2026-01-07 12:44:14 /assets/css/app.css .......................... ~ 0.37ms
  2026-01-07 12:44:14 /assets/images/logo.png ...................... ~ 0.36ms
  2026-01-07 12:44:26 /dashboard/new_users ............................. ~ 1s
  2026-01-07 12:44:28 /assets/css/app.css .......................... ~ 0.36ms
  2026-01-07 12:44:28 /assets/images/logo.png ...................... ~ 0.36ms
  2026-01-07 12:44:48 /dashboard/new_users ............................. ~ 1s
  2026-01-07 12:44:50 /assets/css/app.css .......................... ~ 0.35ms
  2026-01-07 12:44:50 /assets/images/logo.png ...................... ~ 0.34ms
  2026-01-07 12:45:06 /dashboard/new_users ............................. ~ 1s
  2026-01-07 12:45:07 /assets/css/app.css .......................... ~ 0.41ms
  2026-01-07 12:45:07 /assets/images/logo.png ...................... ~ 0.57ms
  2026-01-07 12:47:11 /dashboard/new_users ............................. ~ 1s
  2026-01-07 12:47:13 /assets/css/app.css .......................... ~ 0.56ms
  2026-01-07 12:47:13 /assets/images/logo.png ...................... ~ 0.33ms
  2026-01-07 12:47:43 /dashboard/new_users ............................. ~ 1s
  2026-01-07 12:47:44 /assets/css/app.css .......................... ~ 0.35ms
  2026-01-07 12:47:44 /assets/images/logo.png ...................... ~ 0.35ms
  2026-01-07 12:48:39 /dashboard/new_users/date .................... ~ 0.54ms
  2026-01-07 12:48:39 /assets/css/app.css .......................... ~ 0.34ms
  2026-01-07 12:48:39 /assets/images/logo.png ...................... ~ 0.38ms
  2026-01-07 12:48:42 /dashboard/new_users ............................. ~ 1s
  2026-01-07 12:48:43 /assets/css/app.css .......................... ~ 0.35ms
  2026-01-07 12:48:43 /assets/images/logo.png ...................... ~ 0.53ms
  2026-01-07 12:48:48 /dashboard/new_users/date .................... ~ 0.54ms
  2026-01-07 12:48:49 /assets/css/app.css .......................... ~ 0.34ms
  2026-01-07 12:48:49 /assets/images/logo.png ...................... ~ 0.35ms
  2026-01-07 12:48:51 /dashboard/new_users ............................. ~ 1s
  2026-01-07 12:48:53 /assets/css/app.css .......................... ~ 0.35ms
  2026-01-07 12:48:53 /assets/images/logo.png ...................... ~ 0.37ms
  2026-01-07 12:49:35 /dashboard/inactive_users .................. ~ 500.95ms
  2026-01-07 13:37:53 /dashboard/new_users ............................. ~ 1s
  2026-01-07 13:37:54 /assets/css/app.css .......................... ~ 0.44ms
  2026-01-07 13:37:54 /assets/images/logo.png ...................... ~ 0.86ms
  2026-01-07 13:47:16 /dashboard/inactive_users .................. ~ 500.75ms
  2026-01-07 13:52:23 /dashboard/inactive_users ........................ ~ 2s
  2026-01-07 13:52:32 /dashboard/new_users ............................. ~ 1s
  2026-01-07 13:52:48 /dashboard/new_users/date ........................ ~ 1s
  2026-01-07 13:53:12 /dashboard/new_users ............................. ~ 1s
